bugid,sd,rs
1601137,[wpt-sync] Sync PR 20600 - Adjust infinite-scroll-event to pass.,1
1601139,Update ingestion-beam integration workflow with sampled documents,1
1601140,|mach vendor python| wants to remove Python 2 packages from requirements.txt,1
1601142,No master password prompt appears before autofill,0
1601144,Unify MediaControlActions and MediaControlKeysEvent,1
1601149,Troubleshoot github_private_pem regression in v24,1
1601150,Permafailing diff-reproducible-linux32 build differences in libxul.so,1
1601153,Please deploy syncstorage-rs 0.1.8 to production and staging,1
1601154,Duplicate symbols from libgkrust.a in Mac OS debug build,0
1601161,"Remove unnecessary domain instance checks after ""domains.get()""",0
1601164,Add tabs-on-bottom mode,0
1601170,Update the version of mercurial on the transplant server,0
1601171,"[jsdbg2] All handlers for a Debugger hook function should be guaranteed to run, even if an early one returns termination",1
1601175,SetScriptGlobalObject happens before we have properly set up the document (and hence principal!) of the inner window,1
1601177,Re-enable the SDP parallel parsing mode,1
1601179,[jsdbg2] Always capture async stacks when DevTools is open,1
1601180,UITour's `fxa` configuration request fails if the fxa account is in a bad state.,1
1601183,Firefox Color broken in Developer 72.0b1,1
1601184,toolkit.tabbox.switchByScrolling:true doesn't switch tabs when scrolling over empty space in tab bar,1
1601185,Left/right touchpad scrolling is preempted by forward/back gesture when body is overflow hidden when zoomed in with pref apz.allow_zooming=true,1
1601186,Function request: set up the function of group saving for bookmarks.,0
1601189,Some click areas are too small,0
1601190,"When using the page text search function, the searched text is not easy to find.",0
1601193,Swipe in from the right to go back rather than back to the previous page.,0
1601194,Homoglyph spoofing uri representation oO0,0
1601195,History access page cannot be queried by date,0
1601197,Make sure the condprofclient picks mozilla-central artifacts by default,1
1601199,Dictionaries get installed but do not show up in the spellchecker,0
1601202,mozilla/code-review Release 1.1.0,1
1601204,There are Visual Glitches when resizing the browser window with WebRender on Laptops with Nvidia GPU,0
1601205,Loading agent sheets/JS causes severe scrolling lag in 73 when setting scrollbar thumb's alpha to 0,0
1601208,[storage] Prevent all columns except for value from resizing with the cookies panel,1
1601209,Investigate a way to share configuration in glean-core tests,1
1601210,"The ""Redirect"" tip is displayed on DuckDuckGo's results page after performing a search in the Address bar",1
1601216,31.39% build times (android-5-0-aarch64) regression on push 4279ebeb54cdc42aba20f377854235da35733476 (Fri November 29 2019),0
1601219,The color-picker does not work in the OBT for `color` properties in the content page,1
1601221,The element picker in the Animations panel does not work in the OBT,0
1601222,"""Tooltip for datapoint with signature NaN and date Jan 01 12:10 UTC can't be found.""",1
1601223,[siglist] Add moz_malloc_size_of to the prefix list,1
1601226,Please grant jwatt@jwatt.org scm_versioncontrol,0
1601227,firefox doesn't offer to use CA certificates as client authentication certificates,1
1601229,"The ""use in console"" contextual menu item does not work for content elements in the OBT",0
1601233,Bump Cranelift to 497b4e1ca1d33dfd54314366d8e3a27a9fea225f,1
1601234,Auth0-prod local development credentials,1
1601235,Remove the second arg of nsIXULBrowserWindow::SetOverLink,1
1601236,[wpt-sync] Sync PR 20602 - Add shallawa to svg/META.yml,1
1601237,Frequent hangs in debugger code,0
1601243,Perma TEST-UNEXPECTED-FAIL | dom/serviceworkers/test/browser_download.js | Test timed out when Gecko 73 merges to Beta on 2020-01-06,1
1601244,"Intermittent TV devtools/client/webconsole/test/browser/browser_webconsole_stubs_page_error.js | ""TypeError longString message"" packet has expected value - Got {",1
1601247,Perma TEST-UNEXPECTED-TIMEOUT | browser/extensions/doh-rollout/test/unit/test_localStorageMigration.js | Test timed out when Gecko 73 merges to Beta on 06-01-20,1
1601249,Review build-related localization documentation,1
1601252,Perma Beta [taskcluster:error] Task timeout after 1200 seconds. Force killing container. when Gecko 73 merges to Beta on 2020-01-06,1
1601253,Add LDAP user: oboca@mozilla.com to group: voice-dev,1
1601256,privateBrowsingId is added to the link in  Settings  - Autoplay in Preferences,1
1601257,Add documentation for scriptworkers-scripts,1
1601264,Add a test to Fenix to ensure that Glean pings are being sent,1
1601265,iOS: Validate that lifecycle events are working as expected,1
1601266,[wpt-sync] Sync PR 20605 - Replace hostCandidate with address and port in RTCPeerConnectionIceErrorEvent,1
1601270,Restrict ping names to be kebab-case (again),1
1601271,[wpt-sync] Sync PR 20606 - Don't put the computed value in the title of computed value tests,1
1601272,Log when the reftest document is larger than the viewport,1
1601277,Access to CIS API for BigQuery Dashboards,1
1601278,Enable JSON Preview (LONG MODE) by default,1
1601281,Table mapping addon_id to Human Readable Addons in GCP,1
1601284,Errors running ./mach browsertime with --visualMetrics=true when using Nightly 73,0
1601285,Remove AutoPrepareFocusRange from Selection.cpp,1
1601286,ThreadSanitizer: data race [@ flagsField] vs. [@ setFlagBit],1
1601289,"The ""Web Push notifications in Firefox"" page is wrongly opened if the ""Watch videos while you browse"" message from the ""What's New"" panel is clicked",1
1601292,Custom bookmark keyword not working with Hebrew characters,0
1601294,"After modifying an event that's fired, changing its date and submitting the change, Lightning gets stuck in a loop",0
1601295,Upgrade docker-worker to version v201912041449,1
1601298,Initialize flex container and its helper classes' members in the declaration,1
1601301,"Adapt webrtc UI (permission prompts, tab icons and active streams menu) for fission",1
1601302,"The ""Firefox Beta Release Notes"" page is wrongly opened on latest Firefox Release (71.0) if the ""Firefox now fights harder for your privacy"" message from the ""What's New"" panel is clicked",1
1601304,Add brizental's blog to planet.mozilla.org (https://brizental.github.io/),1
1601306,Default themes are not applied correctly when they are switched from about:addons on Mac OS,1
1601308,mdc2 install2 deploystudio runs failing,1
1601309,Fennec version 68.3 shows in Featured Versions but needs to be 68.3.0 in order to show results,1
1601310,Add GetContentBlockingEvents IPC method for child processes to retrive content blocking event stored in the parent process,1
1601311,Removing a watchpoint changes the value of the corresponding property,1
1601313,thunderbird 68.2.1 Display folder bug,0
1601314,Multiple ref-hw and hw workers out,1
1601321,Refactor documentation for Fluent migrations,1
1601323,grant Iain Ireland (iireland@mozilla.com) access to raw dumps,1
1601325,Awesomebar line splitting doesn't trigger early enough.,1
1601328,Please run test of purge_ttl script against stage for syncstorage-rs,1
1601330,Consider breaking the width link between URLbar and displayed results.,0
1601333,Browsertime conditioning sequence is very different and longer than Raptor web-ext,1
1601334,Increase Urlbar min-width,1
1601335,Fix a couple of WPTs:  Worker-location.sub.any.js and Worker-constructor-proto.any.js,1
1601339,Multiple focus problems with expanded font size,1
1601341,Commit Access (Level 3) for Chris Fallin (cfallin@mozilla.com),1
1601343,Wrong exception type check in workers/Worker-multi-port.html,1
1601344,Fix fennec.page_options.total_sites_pinned_to_topsites and fennec.page_options.total_added_search_engines core pings,1
1601345,"Remove containers panel's ""<< Go Back"" text link in favor of a back button, like in about:addons",1
1601346,Remove SimpleOutlineHighlighter,1
1601347,Reverse search resizes multi-line editor side panel width,1
1601352,[wpt-sync] Sync PR 20614 - [Trusted Types] Add tt.emptyScript.,1
1601353,Commit Access (Level 3) for June Wilde (jewilde@mozilla.com),1
1601354,Exchanging pushlogs should not stop at unknown changesets.,1
1601355,Please deploy Firefox Monitor v10.0.0 to prod,1
1601357,prevent self-logging in activitylog api,1
1601361,Investigate xcode changes in Lockwise iOS,1
1601362,Decide what kind of telemetry retained results should send,1
1601367,Don't install ImageMagick for Browsertime @ macOS,1
1601368,Intermittent dom/ipc/tests/browser_crash_oopiframe.js | The iframe is now pointing at about:framecrashed -,1
1601369,Intermittent  browser/components/urlbar/tests/ext/browser/update/browser_installBrowserUpdateAndRestart.js | Uncaught exception - Waiting for active update - timed out after 50 tries.,1
1601372,Defer object allocation during parsing in the self-hosted global,1
1601376,Windows webrender builds fail with rustc 1.39 in egl.rs,1
1601377,Change some nsContentUtils function signatures to take nsIPrincipal& to make it clear it can't be null,1
1601379,Extend MediaControlKeysEventSource API for initialization and deconstruction,1
1601382,[wpt-sync] Sync PR 20616 - Add tests for setting current time outside of the animation bounds,1
1601383,Re-structure 'mach test-info' code,1
1601385,Crash near [@ mozilla::dom::HTMLMediaElement::UpdateOutputTrackSources],1
1601386,Add summary info to 'mach test-info report' components and manifests,0
1601387,"Avoid ActiveData ""over-flows"" in 'mach test-info report'",1
1601388,Performance improvements for 'mach test-info reports --show-activedata',1
1601389,Crash in [@ SearchExtRunnable::~SearchExtRunnable],1
1601397,Start running R-fis tests on autoland/central,1
1601400,"When the PiP window is open on the full-screen desktop, it doesn't move to the non-full-screen desktop upon application-switching",0
1601401,Odd results testing ./mach browsertime with fission,1
1601404,"Zoom ""Reset"" menu should be renamed ""Actual Size""",1
1601406,[wpt-sync] Sync PR 20618 - Advertise DocumentPolicy & Network Err when receive incompatible policy,1
1601407,Update gfx/graphite2/src/moz.build to additionally build a wasm sandboxed library,1
1601412,Create new blog app in auth0 (community-es),1
1601414,Add application name and version in vismet perfherder results,1
1601418,[iris firefox] Update build to latest core version 0.8.4,1
1601419,Help me research WebAssembly for developer experience,1
1601422,"Assertion failure: out->mFinishWhenEndedLoadingSrc || out->mFinishWhenEndedAttrStream, at /builds/worker/workspace/build/src/dom/html/HTMLMediaElement.cpp:3682",1
1601423,Crash in [@ mozilla::ipc::WriteIPDLParam<T> | mozilla::ipc::WriteIPDLParam<T> | mozilla::dom::PContentChild::SendWindowPostMessage],1
1601427,[wpt-sync] Sync PR 20619 - Add nsatragno to webauthn reviewers list,1
1601428,[wpt-sync] Sync PR 20620 - Enable http2 server by default,1
1601441,[wpt-sync] Sync PR 20621 - Tick animation timelines individually.,1
1601443,Publish vrhost.dll in a new build package,0
1601444,Server timings not added on transaction close,1
1601445,Stop using pipenv to manage virtualenvs,0
1601446,Several desktop devices newly signed in to Firefox (not Sync) not appearing in device list,1
1601448,The clang.tar.xz bootstrap artifact should contain the libclang_rt.builtins-wasm32.a archive,1
1601450,Select location bar plus type while in about:config no longer deletes location bar contents,1
1601451,Move to Ubuntu 18.04 LTS,1
1601453,[macOS] File download failure locks the window up,0
1601455,implement publishing crash ids to AWS SQS in antenna,1
1601459,move experiments_v1 parquet out of gs://moz-fx-data-derived-datasets-parquet-tmp,1
1601461,"Nightly ""What's New"" page should reflect new release cadence",1
1601463,Certificate viewer isn't showing critical extensions,1
1601467,BigQuery GCP Console and API Access for wclouser@mozilla.com,1
1601472,Include context in 'mach test-info report' report,1
1601473,crash in [@ mozilla::SharedPrefMap::SharedPrefMap],0
1601474,[Interventions] Add the remaining app-update cases to the main script,1
1601475,[MSU Capstone] Remove ImageContentLoaded event and ImageDocumentLoaded message handling code across the tree,1
1601476,Value with watchpoint in object inspector does not update when stepping,1
1601480,"""What's new"" burger menu item appears while the burger menu is opened",0
1601481,Fix inadventently broken Raptor unittest: test_build_profile[RaptorDesktopFirefox,0
1601483,Avoid HashTable lookups when the table is empty,1
1601484,Intermittent TEST-UNEXPECTED-TIMEOUT | comm/mail/test/browser/content-tabs/browser_contentTab.js (finished) | application timed out after 370 seconds with no output,1
1601486,Motion path is not correct for <g> SVG elements with transform-box:fill-box,1
1601489,Add locale to Glean metrics ping,1
1601490,[iris firefox] Please upload the following packages to Mozilla's internal Pypi mirror,1
1601491,Remove useless namespaces in browser.xhtml,1
1601494,Remove CNAME alerts.telemetry.mozilla.org,1
1601495,"Intermittent devtools/client/debugger/test/mochitest/browser_dbg-chrome-create.js | The remote debugger process didn't die cleanly. - Got 15, expected -15",0
